intCol,tinyIntCol,smallIntCol,bigIntCol,doubleCol,doubleCol,decimalCol,,stringCol!@#$%^&*(),timeStampCol,binaryCol,arrayCol,mapCol,structCol,varCharCol,charCol,dateCol,Right_RowID,INT_with_scientific_notation,singlechar,singlechar_with_singlequotes,singlechar_with_doublequotes,emojis,arabic_column,french_chars,
,null,-15906,5035218741361664,1292.412231445,5799.643102009,5292.029,false,!@#$%^&*(),1990-08-05 15:20:03,ukuclnqrqmzfoawrawqyrxhucmiskw==,"[3697,4006,8856,2643,8157,3966,3652,9256,6544,218,6844]","{""key1"":""NMkbDREYfH"",""key2"":""hd7X3zO3Pk"",""key3"":""Z9ZIyZs59c"",""key4"":""SZzGskMufb""}","{""id"":""sjrod"",""val1"":""qdlhr"",""val2"":""dvegw""}",iumixtiqivrwyrw,kycsmrupwf,1986-11-25 00:00:00,19,,q,'q',"""q""",✅,لبى,MÈRE ,רחלים
-955939840,13,28595,4458733335951872,8748.717773438,1547.018290286,2994.118,false,ommetzkgoe,1970-04-26 07:48:00,ayrbgvzejhwqfsczxcrygqcedbqetw==,,"{""key1"":""ze4uTLJCIS"",""key2"":""KJvGWmVD4k"",""key3"":""EAj5tjtJIY"",""key4"":""sGZyLdFZTL""}","{""id"":""zavzf"",""val1"":""cvpte"",""val2"":""wpihw""}",waoexcjeezmxrsi,scnzxnuxan,1985-04-11 00:00:00,4,-4123000000000,r,'r',"""r""",🎊,منزله,MÈRE ,מגדלים
-946041088,20,4028,6488644051956704,2068.969238281,6867.608431199,2096.338,false,aftxkrhbse,1995-07-21 00:19:48,okvcbxnhykbxgmodzdwgybzwioikng==,[606],"{""key1"":""lh6d4g6AdX"",""key2"":""m7NXz1Drky"",""key3"":""PE0h2QSxpA"",""key4"":""6R2Esbvp9X""}","{""id"":""uegms"",""val1"":""grjhb"",""val2"":""wzptz""}",ukampuhnwymbxok,pwumbaiqhj,1980-08-31 00:00:00,5,-4123000000000,s,'s',"""s""",⬇️,ماتجيني,MÈRE ,חומש
190064639,85,-16861,745854179121920,3006.978027344,5300.161841,590.341,false,pwpphjeqey,1971-11-03 14:46:40,csdhfkmtpzkznemtvmumlbcetlgfqg==,"[4828,2281]","{""key1"":""381OAMa9cm"",""key2"":""kVqFCSMW5N"",""key3"":""SORmXvLRX2"",""key4"":""yjMtCtXnrM""}","{""id"":""bqodb"",""val1"":""mnxzv"",""val2"":""uebln""}",qumqyheavhhvwkc,lbidykbvuz,1977-12-01 00:00:00,10,-7.4423e-12,s,'s',"""s""",⚠️,ووقف,DE NOËL ,ענב
-1355749376,28,-6594,6217661610739712,1575.131469727,4710.247816849,719.935,false,wkrxvnrrmw,1977-04-11 02:09:53,qiutbarcseuaqboaojdlihgwvwiqwQ==,"[7066,6223,9555,9906,8967,4096,2286,9385,4793,2865,57,7801,1261,5671,8650,8967,7999,7792,2867]","{""key1"":""HlwjPoYNOZ"",""key2"":""hnbly8aGKW"",""key3"":""2nSgdIRftI"",""key4"":""8sxcVvxtbj""}","{""id"":""hwuon"",""val1"":""wuuon"",""val2"":""icggg""}",gmmgstuttnbjxpy,vhdgledyvc,1994-10-13 00:00:00,2,-1.2345678e+22,m,'m',"""m""",❤️,دعوته,EN DÉCEMBRE,נגוהות
623428607,52,-12058,1099140924791552,1668.521118164,7082.408967932,3390.096,false,dyspcsmwhq,1979-11-10 12:56:35,eydynjfcrsmjwwcjyqtcwskjmaulyg==,"[1826,8833,371,2946,1848,661,3918,7866,3517,9457,3681]","{""key1"":""BahZ52XrL1"",""key2"":""ZP6eRPsIEd"",""key3"":""VBMjjPITQw"",""key4"":""1rSnwpb9sq""}","{""id"":""bfggr"",""val1"":""nxflc"",""val2"":""elsjm""}",gqouiupeqligvhn,ykwavphlbv,2002-01-11 00:00:00,13,4.94065e-32,d,'d',"""d""",🟨, خاصة,MÈRE ,הר ברכה ברכה
340231167,-103,32314,6727076822845952,490.876434326,521.782040839,689.131,false,ynbspwxszn,2006-09-11 04:44:46,yybegwugseeyfyyzzxssndxpceskbg==,"[7387,5827,3530,5417,2764,3977,7112,6065,2894,6651,9171,6785,5125]","{""key1"":""SL6KOlo6yS"",""key2"":""6hwmQ2uKSH"",""key3"":""ECjxaAa7Su"",""key4"":""OY8xWw8ut0""}","{""id"":""avewu"",""val1"":""rttto"",""val2"":""mndbq""}",gmknpbmxtkuyfvw,rzxfoedloj,1999-07-03 00:00:00,12,-7.4423e-12,a,'a',"""a""",📝,الطلاق ,EN DÉCEMBRE,חרמש
59571531,-120,2726,499568922236435,5693.273925781,831.917259298,5970.561,false,srcyitzady,1976-01-17 22:33:07,uomxckzjwvhrhuqvxvjmntzosoyudQ==,"[1663,9022,6558]","{""key1"":""GqtZfwU56W"",""key2"":""hjDJcwofzW"",""key3"":""wAS2lqzSh0"",""key4"":""ieeRmIe0pZ""}","{""id"":""jmsyp"",""val1"":""tjrjc"",""val2"":""fwuue""}",ekatpkqdtbrdopr,vsusznjtum,2002-01-30 00:00:00,9,-0.00445124654,g,'g',"""g""",🔷,صديقه,FRANÇAISE ,קדים
955388927,36,-14711,234259271632640,5292.765136719,821.385383988,8358.519,true,krzqufbilr,2012-10-22 05:07:34,owkzlgegaqgzpbomgtgdmmqaigfmog==,"[4974,9911,5595,6472,7765,1797,1908,1014,5229]","{""key1"":""xydc0YQBBL"",""key2"":""8tW4c8Gm4M"",""key3"":""aGblhlIIrx"",""key4"":""v30H3CJPMy""}","{""id"":""eqoya"",""val1"":""ypims"",""val2"":""blsod""}",sumfztrbmpwkjon,bypzxafltm,2013-06-15 00:00:00,14,7.4423e-12,j,'j',"""j""",🆗, علي ,DE NOËL ,שבי שומרון
1838367743,-76,7387,2747089955464832,8975.13671875,704.915821881,272.055,true,ouxvftfobi,1971-06-30 18:49:15,acidfzuquvceiuuzqqvnljpljdcnzg==,"[9936,6185,781,912,2509,4330]","{""key1"":""94j6CTgyit"",""key2"":""smHeSsm3fX"",""key3"":""PD7ADcq9JW"",""key4"":""eqjA1uBW3e""}","{""id"":""gmimc"",""val1"":""oyksy"",""val2"":""bavue""}",aowrnboisicvkex,rucsmrzxvu,2011-09-01 00:00:00,18,1.79769e+308,w,'w',"""w""",❌,صديقه,FRANÇAISE ,סנסנה
-703343616,19,7048,1887435007823552,3118.254150391,3798.277379851,1502.739,true,hwhwhwafby,2008-03-06 02:00:46,wwcjyqtcwskjmaulygxoqwfedjiyrg==,"[4259,717,7166,7868,1323,4157,6358,6232,2556,9900,3363,6799,60,5880,7990,4743,8200,5670,6079]","{""key1"":""XIVSXvg33a"",""key2"":""2HsXhn6Ee2"",""key3"":""03o5vQeeLf"",""key4"":""GzX7WcQrRx""}","{""id"":""hryfw"",""val1"":""wkcgw"",""val2"":""sjmns""}",yyshjqkviglwvhz,uclwpzskje,1983-03-28 00:00:00,6,-179623157,t,'t',"""t""",❗️,ووقف,DE NOËL ,תלם
1671645295,-54,12191,8891823575776256,4349.600097656,5313.086512179,9153.266,false,htxiqenedt,1999-03-30 20:05:28,iskynmcvdrnpbysmtjkcguptilqefw==,,"{""key1"":""3badsBTnEu"",""key2"":""w2t7fCA5if"",""key3"":""jiavckw8PW"",""key4"":""21LcTl7GEk""}","{""id"":""wpica"",""val1"":""wptoy"",""val2"":""iryuo""}",oeshqwtudywyksw,qenziyaaqm,2003-03-16 00:00:00,16,1.2345678e+22,e,'e',"""e""",✏️,دعوته,CUISINE LE DÎNER ,יצהר
-1684013568,118,-24306,7313791764174080,287.703582764,3151.620627917,6181.187,true,nohqcyneqj,1970-11-10 05:03:07,ccdehmtplyzrksyweivpvhyvmlywyQ==,"[5533,9469,8400,1236,26,9435]","{""key1"":""vyMNJLBCZ8"",""key2"":""Jh7CiBItY8"",""key3"":""bESrtP2bb7"",""key4"":""wTaLbfFDcs""}","{""id"":""bavjh"",""val1"":""pnnih"",""val2"":""vjrjh""}",igizjxvkxfvbfca,zdvpuszdnh,2013-03-24 00:00:00,1,-1.2345678e+22,s,'s',"""s""",😡,هدية,EN DÉCEMBRE,אבני חפץ
12284927,50,-23596,3090497741838080,7133.937988281,1689.871550393,361.979,false,nucvnzflzq,1982-03-01 14:38:42,mohmdorwphgpbeydynjfcrsmjwwcjw==,"[4116,3479,1659,585,1774,9875,6875,2468,9124,3381,2819,7152,8430,9381,3429,3882,5494]","{""key1"":""fYMgi49MuZ"",""key2"":""tEZ0xIaoWn"",""key3"":""jLyevsUqXL"",""key4"":""EcbkujjhB0""}","{""id"":""kstoy"",""val1"":""mndgw"",""val2"":""elnir""}",yiezdlzhndhzkum,wfomgoetsc,2001-01-11 00:00:00,8,-179.763157,a,'a',"""a""",😀,سيهديه ,DE NOËL ,שא-נור
1462738431,-14,6340,634171097409536,1516.799316406,5888.129773498,9240.135,false,kypzqcadqz,2000-03-16 18:38:10,qwalydjzhtcfqbssmydjzuycysoccw==,"[7760,604,4336,4251]","{""key1"":""LPd7EsQfFI"",""key2"":""Z3oIisw6Ai"",""key3"":""vRPV7oKuhy"",""key4"":""wh0uRNvY8Z""}","{""id"":""fgbqy"",""val1"":""dvebf"",""val2"":""aqdbf""}",ceqzycmpezypklu,zxcqjyiqhy,2001-04-30 00:00:00,15,123.45678,g,'g',"""g""",😊, قائلاً,CUISINE LE DÎNER ,איתמר
2032854015,124,-6867,2971557475748552,7684.747070313,2829.404176599,7425.072,true,ynuxibyskr,1971-10-01 22:22:22,omgtgdmmqaigfmohmdorwphgpbeydw==,"[4041,7619,1172,9022,2349,2213,5804,1965,4390,4060,2752]","{""key1"":""ZIrea4F10F"",""key2"":""xCQ6E60w71"",""key3"":""S7sa9dvHDG"",""key4"":""oOp7CL6LhN""}","{""id"":""xuoiw"",""val1"":""jroyf"",""val2"":""ihmni""}",eiwcmxrrdqllsyr,pcddgowuzv,1997-05-31 00:00:00,20,-4.940656,t,'t',"""t""",🍀,وأعلن ,FRANÇAISE ,מבוא דותן
1805124607,91,6447,2525964422257088,8623.229492188,8118.9394035,8176.205,false,ruszqcqjwp,1976-11-24 00:31:34,ukmdhvhsbxvjpbowkzlgegaqgzpbog==,"[5599,972,9379,351,4476,8111,5519,5949,4540,848,1050,5422,767,7645,4393,8164,4643,3916,3250]","{""key1"":""dU3uIQ8NM1"",""key2"":""v482CaKybl"",""key3"":""uabKB3zls9"",""key4"":""5KzVA5ivwz""}","{""id"":""ttzkh"",""val1"":""kcavj"",""val2"":""wkclh""}",agyrupinwbeztta,lwhbibqmws,1978-03-31 00:00:00,17,1.7976e+30,d,'d',"""d""",🎉,  فرفضها,FRANÇAISE ,כפר תפוח
-1057157632,-77,-17825,6684227018091776,3754.662353516,1227.72216854,7412.237,true,iwaigqusuc,1996-12-26 01:28:37,ccxpeexihihokaudhmuplzphtfccdQ==,"[9781,9643]","{""key1"":""PjgjuUKVC4"",""key2"":""9nGNkoyTfb"",""key3"":""UcWQ9Yk3ff"",""key4"":""ZOG77yFk4S""}","{""id"":""sosyf"",""val1"":""ujhrt"",""val2"":""rjxza""}",kqwyafcfaclzfgg,jtscynuscn,1975-06-02 00:00:00,3,-17976157000000,y,'y',"""y""",📕,أنه ,CUISINE LE DÎNER ,אלון מורה
268149759,25,26299,863534107491584,4555.274414063,779.365301495,2038.987,false,kycfdgtzsu,1997-06-29 02:57:33,ywycfpatthdxjswjtizeahtpojyybQ==,"[7165,780,4823,5610,8150,9640,2670,4954,3538]","{""key1"":""qegPrwEXxt"",""key2"":""AZhgaO5l7R"",""key3"":""TjQeE1T5r4"",""key4"":""7iMEn717cy""}","{""id"":""gwpdl"",""val1"":""niwzf"",""val2"":""lnica""}",ucatyvfobyjejgq,wxfbvcvspp,1972-02-21 00:00:00,11,-7.4423e-12,w,'w',"""w""",🍎,أمام ,EN DÉCEMBRE,גנים
-669752208,-47,-15665,4986790849161728,3570.342041016,7889.261249401,3128.891,true,wnhbaiojlo,1972-06-13 22:37:55,qetzsvpouvqqhgelfbzdzqymgficdQ==,"[8466,6224,483,2088,8626]","{""key1"":""DHI5hSpnD8"",""key2"":""ZX1CFWZaEe"",""key3"":""4TkLHzJLoN"",""key4"":""xYjtvEEQ7o""}","{""id"":""zakhb"",""val1"":""welnn"",""val2"":""xzkms""}",ygoubokubqbesfz,ppphdtzkbs,1990-04-11 00:00:00,7,-1797.23157,d,'d',"""d""",⏺,دعوته,CUISINE LE DÎNER ,בית חגי חגי
null,null,,,,,,,,,,,"""""",,,,,,,,,,,,,
